교육과정명,원본키워드,분야키워드,기술키워드,도구키워드,업무키워드,메타키워드
스마트제조 레시피,"스마트제조, 프레임워크, 인공지능,","스마트제조, 인공지능",프레임워크,,,기초/입문
스마트제조 레시피,"스마트제조, 프레임워크, 인공지능, 빅데이터 플랫폼, 스마트제조와 로봇, 소재,반도체, 부품,기계,플랜트,건설,설비,정보통신 5G","스마트제조, 인공지능, 빅데이터",프레임워크,,,실무형인재
인공지능활용능력향상을 위한 데이터 분석,"파이썬,데이터 분석, AICE 자격증, 파일 입출력, API 및 웹 스크래핑, 그룹 집계, 시계열 분석, ","인공지능, 빅데이터","데이터분석, API/웹크롤링",Python,데이터모델링,AICE 자격증
AItopia - 인공지능이 만들어갈 세상,"인공지능, 4차 산업혁명",인공지능,,,,기초/입문
인공지능활용능력향상을 위한 데이터 분석,"파이썬, 빅데이터, 데이터분석, AICE 자격증, 파일 입출력, API 및 웹 스크래핑, 그룹 집계, 시계열 분석","인공지능, 빅데이터","데이터분석, API/웹크롤링",Python,데이터모델링,AICE 자격증
인공지능 레시피,"인공지능, 4차 산업혁명,머신러닝,R, MS Azure, 텐서플로, HOME AI, 자율주행, 자연어 처리, 챗봇, 딥러닝, 코딩없이 인공지능 만들기",인공지능,"머신러닝, 딥러닝, 자연어처리(NLP), 자율주행","R, Azure, TensorFlow",,기초/입문
인공지능활용능력향상을 위한 데이터 분석,"AICE 자격증, AICE Associate, 데이터 모델링, 데이터 분석, 인공지능 모델링, 회귀 분석, 분류 모델, 클러스터링 기법, 머신러닝","인공지능, 빅데이터","데이터분석, 머신러닝",,데이터모델링,AICE 자격증
AI로 변화되는 미래 _인공지능을 모르면 바보가 된다,"4차 산업혁명, 인공지능, 공공부분의 인공지능, 기업의 인공지능, 의료산업 인공지능, 농업 인공지능, 인공지능 윤리기준, 인공지능 통제 필요성",인공지능,,,,기초/입문
자율주행과 자동차의 미래,"자율주행차, 자율주행차의 인지 판단 제어 시스템, 센서퓨전, 위성시스템",스마트모빌리티,"자율주행, 센서퓨전",,,
[AI 능력자] 비개발자도 할 수 있는 바이브 코딩 업무 자동화,"업무 자동화, 바이브코딩, 파이썬, VBA, Apps Script, 액셀 자동화",인공지능,업무자동화,"Python, Excel, Apps Script",,비전공자/입문
